Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Erro,0.0
2,2,Acerto,0.5
3,3,Acerto,0.6667
4,4,Erro,0.5
5,5,Acerto,0.6
6,6,Acerto,0.6667
7,7,Erro,0.5714
8,8,Acerto,0.625
9,9,Erro,0.5556
10,10,Erro,0.5
11,11,Acerto,0.5455
12,12,Acerto,0.5833
13,13,Acerto,0.6154
14,14,Erro,0.5714
15,15,Erro,0.5333
16,16,Erro,0.5
17,17,Acerto,0.5294
18,18,Erro,0.5
19,19,Erro,0.4737
20,20,Acerto,0.5
21,21,Erro,0.4762
22,22,Erro,0.4545
23,23,Erro,0.4348
24,24,Erro,0.4167
25,25,Erro,0.4
26,26,Acerto,0.4231
27,27,Acerto,0.4444
28,28,Acerto,0.4643
29,29,Acerto,0.4828
30,30,Erro,0.4667
31,31,Acerto,0.4839
32,32,Erro,0.4688
33,33,Acerto,0.4848
34,34,Erro,0.4706
35,35,Acerto,0.4857
36,36,Acerto,0.5
37,37,Acerto,0.5135
38,38,Acerto,0.5263
39,39,Erro,0.5128
40,40,Acerto,0.525
41,41,Acerto,0.5366
42,42,Erro,0.5238
43,43,Acerto,0.5349
44,44,Acerto,0.5455
45,45,Erro,0.5333
46,46,Acerto,0.5435
47,47,Acerto,0.5532
48,48,Acerto,0.5625
49,49,Acerto,0.5714
50,50,Acerto,0.58
51,51,Acerto,0.5882
52,52,Acerto,0.5962
53,53,Erro,0.5849
54,54,Acerto,0.5926
55,55,Acerto,0.6
56,56,Acerto,0.6071
57,57,Acerto,0.614
58,58,Erro,0.6034
59,59,Erro,0.5932
60,60,Acerto,0.6
61,61,Acerto,0.6066
62,62,Erro,0.5968
63,63,Acerto,0.6032
64,64,Acerto,0.6094
65,65,Acerto,0.6154
66,66,Acerto,0.6212
67,67,Erro,0.6119
68,68,Erro,0.6029
69,69,Acerto,0.6087
70,70,Acerto,0.6143
71,71,Acerto,0.6197
72,72,Erro,0.6111
73,73,Erro,0.6027
74,74,Acerto,0.6081
75,75,Acerto,0.6133
76,76,Acerto,0.6184
77,77,Acerto,0.6234
78,78,Erro,0.6154
79,79,Acerto,0.6203
80,80,Acerto,0.625
81,81,Acerto,0.6296
82,82,Acerto,0.6341
83,83,Erro,0.6265
84,84,Acerto,0.631
85,85,Erro,0.6235
86,86,Erro,0.6163
87,87,Acerto,0.6207
88,88,Acerto,0.625
89,89,Acerto,0.6292
90,90,Erro,0.6222
91,91,Erro,0.6154
92,92,Erro,0.6087
93,93,Erro,0.6022
94,94,Erro,0.5957
95,95,Acerto,0.6
96,96,Acerto,0.6042
97,97,Acerto,0.6082
98,98,Erro,0.602
99,99,Acerto,0.6061
100,100,Erro,0.6
101,101,Acerto,0.604
102,102,Erro,0.598
103,103,Acerto,0.6019
104,104,Acerto,0.6058
105,105,Acerto,0.6095
106,106,Acerto,0.6132
107,107,Erro,0.6075
108,108,Acerto,0.6111
109,109,Erro,0.6055
110,110,Acerto,0.6091
