Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Acerto,1.0
2,2,Acerto,1.0
3,3,Acerto,1.0
4,4,Acerto,1.0
5,5,Acerto,1.0
6,6,Erro,0.8333
7,7,Erro,0.7143
8,8,Erro,0.625
9,9,Erro,0.5556
10,10,Acerto,0.6
11,11,Acerto,0.6364
12,12,Acerto,0.6667
13,13,Acerto,0.6923
14,14,Erro,0.6429
15,15,Erro,0.6
16,16,Acerto,0.625
17,17,Erro,0.5882
18,18,Acerto,0.6111
19,19,Erro,0.5789
20,20,Acerto,0.6
21,21,Acerto,0.619
22,22,Acerto,0.6364
23,23,Acerto,0.6522
24,24,Acerto,0.6667
25,25,Acerto,0.68
26,26,Acerto,0.6923
27,27,Acerto,0.7037
28,28,Acerto,0.7143
29,29,Erro,0.6897
30,30,Acerto,0.7
31,31,Erro,0.6774
32,32,Acerto,0.6875
33,33,Acerto,0.697
34,34,Acerto,0.7059
35,35,Acerto,0.7143
36,36,Acerto,0.7222
37,37,Acerto,0.7297
38,38,Acerto,0.7368
39,39,Acerto,0.7436
40,40,Acerto,0.75
41,41,Acerto,0.7561
42,42,Acerto,0.7619
43,43,Acerto,0.7674
44,44,Acerto,0.7727
45,45,Erro,0.7556
46,46,Acerto,0.7609
47,47,Acerto,0.766
48,48,Acerto,0.7708
49,49,Erro,0.7551
50,50,Acerto,0.76
51,51,Acerto,0.7647
52,52,Acerto,0.7692
53,53,Erro,0.7547
54,54,Acerto,0.7593
55,55,Acerto,0.7636
56,56,Acerto,0.7679
57,57,Erro,0.7544
58,58,Acerto,0.7586
59,59,Acerto,0.7627
60,60,Acerto,0.7667
61,61,Acerto,0.7705
62,62,Acerto,0.7742
63,63,Acerto,0.7778
64,64,Acerto,0.7812
65,65,Erro,0.7692
66,66,Erro,0.7576
67,67,Erro,0.7463
68,68,Acerto,0.75
69,69,Acerto,0.7536
70,70,Erro,0.7429
71,71,Erro,0.7324
72,72,Acerto,0.7361
73,73,Acerto,0.7397
74,74,Erro,0.7297
75,75,Acerto,0.7333
76,76,Acerto,0.7368
77,77,Acerto,0.7403
78,78,Acerto,0.7436
79,79,Acerto,0.7468
80,80,Erro,0.7375
81,81,Acerto,0.7407
82,82,Acerto,0.7439
83,83,Acerto,0.747
84,84,Acerto,0.75
85,85,Acerto,0.7529
86,86,Acerto,0.7558
87,87,Erro,0.7471
88,88,Acerto,0.75
89,89,Erro,0.7416
90,90,Acerto,0.7444
91,91,Acerto,0.7473
92,92,Acerto,0.75
93,93,Acerto,0.7527
94,94,Acerto,0.7553
95,95,Acerto,0.7579
96,96,Erro,0.75
97,97,Acerto,0.7526
98,98,Acerto,0.7551
99,99,Acerto,0.7576
100,100,Acerto,0.76
101,101,Erro,0.7525
102,102,Acerto,0.7549
103,103,Acerto,0.7573
104,104,Acerto,0.7596
105,105,Acerto,0.7619
106,106,Erro,0.7547
107,107,Acerto,0.757
108,108,Acerto,0.7593
109,109,Acerto,0.7615
110,110,Acerto,0.7636
111,111,Acerto,0.7658
112,112,Erro,0.7589
113,113,Acerto,0.7611
114,114,Acerto,0.7632
115,115,Erro,0.7565
116,116,Acerto,0.7586
117,117,Erro,0.7521
118,118,Acerto,0.7542
119,119,Acerto,0.7563
120,120,Acerto,0.7583
121,121,Erro,0.7521
122,122,Acerto,0.7541
123,123,Acerto,0.7561
124,124,Acerto,0.7581
125,125,Acerto,0.76
126,126,Acerto,0.7619
127,127,Erro,0.7559
128,128,Erro,0.75
129,129,Erro,0.7442
130,130,Acerto,0.7462
131,131,Erro,0.7405
132,132,Erro,0.7348
133,133,Erro,0.7293
134,134,Acerto,0.7313
135,135,Acerto,0.7333
136,136,Erro,0.7279
137,137,Erro,0.7226
138,138,Erro,0.7174
139,139,Erro,0.7122
140,140,Acerto,0.7143
141,141,Acerto,0.7163
142,142,Acerto,0.7183
143,143,Acerto,0.7203
144,144,Erro,0.7153
145,145,Acerto,0.7172
146,146,Acerto,0.7192
147,147,Erro,0.7143
