Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Erro,0.0
2,2,Acerto,0.5
3,3,Acerto,0.6667
4,4,Acerto,0.75
5,5,Acerto,0.8
6,6,Erro,0.6667
7,7,Erro,0.5714
8,8,Erro,0.5
9,9,Erro,0.4444
10,10,Erro,0.4
11,11,Acerto,0.4545
12,12,Erro,0.4167
13,13,Acerto,0.4615
14,14,Erro,0.4286
15,15,Acerto,0.4667
16,16,Acerto,0.5
17,17,Erro,0.4706
18,18,Acerto,0.5
19,19,Erro,0.4737
20,20,Erro,0.45
21,21,Acerto,0.4762
22,22,Erro,0.4545
23,23,Erro,0.4348
24,24,Erro,0.4167
25,25,Acerto,0.44
26,26,Erro,0.4231
27,27,Erro,0.4074
28,28,Acerto,0.4286
29,29,Acerto,0.4483
30,30,Acerto,0.4667
31,31,Erro,0.4516
32,32,Erro,0.4375
33,33,Erro,0.4242
34,34,Erro,0.4118
35,35,Erro,0.4
36,36,Acerto,0.4167
37,37,Acerto,0.4324
38,38,Erro,0.4211
39,39,Erro,0.4103
40,40,Erro,0.4
41,41,Erro,0.3902
42,42,Acerto,0.4048
43,43,Erro,0.3953
44,44,Erro,0.3864
45,45,Erro,0.3778
46,46,Acerto,0.3913
47,47,Acerto,0.4043
48,48,Erro,0.3958
49,49,Erro,0.3878
50,50,Acerto,0.4
51,51,Erro,0.3922
52,52,Acerto,0.4038
53,53,Acerto,0.4151
54,54,Acerto,0.4259
55,55,Acerto,0.4364
56,56,Acerto,0.4464
57,57,Erro,0.4386
58,58,Erro,0.431
59,59,Acerto,0.4407
60,60,Acerto,0.45
61,61,Erro,0.4426
62,62,Erro,0.4355
63,63,Acerto,0.4444
64,64,Erro,0.4375
65,65,Acerto,0.4462
66,66,Erro,0.4394
67,67,Acerto,0.4478
68,68,Acerto,0.4559
69,69,Acerto,0.4638
70,70,Erro,0.4571
71,71,Acerto,0.4648
72,72,Erro,0.4583
73,73,Erro,0.4521
74,74,Acerto,0.4595
75,75,Erro,0.4533
76,76,Erro,0.4474
77,77,Erro,0.4416
78,78,Erro,0.4359
79,79,Acerto,0.443
80,80,Erro,0.4375
81,81,Acerto,0.4444
82,82,Erro,0.439
83,83,Acerto,0.4458
84,84,Erro,0.4405
85,85,Acerto,0.4471
86,86,Erro,0.4419
87,87,Acerto,0.4483
88,88,Acerto,0.4545
89,89,Erro,0.4494
90,90,Acerto,0.4556
91,91,Acerto,0.4615
92,92,Erro,0.4565
93,93,Acerto,0.4624
94,94,Acerto,0.4681
95,95,Erro,0.4632
96,96,Erro,0.4583
97,97,Erro,0.4536
98,98,Acerto,0.4592
99,99,Erro,0.4545
100,100,Acerto,0.46
101,101,Erro,0.4554
102,102,Erro,0.451
103,103,Acerto,0.4563
104,104,Erro,0.4519
105,105,Erro,0.4476
106,106,Erro,0.4434
107,107,Erro,0.4393
108,108,Erro,0.4352
109,109,Acerto,0.4404
110,110,Acerto,0.4455
111,111,Erro,0.4414
