Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Acerto,1.0
2,2,Erro,0.5
3,3,Acerto,0.6667
4,4,Acerto,0.75
5,5,Acerto,0.8
6,6,Acerto,0.8333
7,7,Erro,0.7143
8,8,Erro,0.625
9,9,Erro,0.5556
10,10,Acerto,0.6
11,11,Erro,0.5455
12,12,Erro,0.5
13,13,Erro,0.4615
14,14,Acerto,0.5
15,15,Acerto,0.5333
16,16,Acerto,0.5625
17,17,Erro,0.5294
18,18,Acerto,0.5556
19,19,Erro,0.5263
20,20,Acerto,0.55
21,21,Acerto,0.5714
22,22,Acerto,0.5909
23,23,Acerto,0.6087
24,24,Erro,0.5833
25,25,Acerto,0.6
26,26,Erro,0.5769
27,27,Acerto,0.5926
28,28,Acerto,0.6071
29,29,Acerto,0.6207
30,30,Acerto,0.6333
31,31,Acerto,0.6452
32,32,Acerto,0.6562
33,33,Acerto,0.6667
34,34,Erro,0.6471
35,35,Erro,0.6286
36,36,Acerto,0.6389
37,37,Acerto,0.6486
38,38,Acerto,0.6579
39,39,Acerto,0.6667
40,40,Acerto,0.675
41,41,Acerto,0.6829
42,42,Acerto,0.6905
43,43,Acerto,0.6977
44,44,Acerto,0.7045
45,45,Acerto,0.7111
46,46,Acerto,0.7174
47,47,Erro,0.7021
48,48,Acerto,0.7083
49,49,Erro,0.6939
50,50,Erro,0.68
51,51,Erro,0.6667
52,52,Erro,0.6538
53,53,Acerto,0.6604
54,54,Erro,0.6481
55,55,Acerto,0.6545
56,56,Acerto,0.6607
57,57,Acerto,0.6667
58,58,Acerto,0.6724
59,59,Acerto,0.678
60,60,Erro,0.6667
61,61,Erro,0.6557
62,62,Acerto,0.6613
63,63,Erro,0.6508
64,64,Acerto,0.6562
65,65,Erro,0.6462
66,66,Erro,0.6364
67,67,Acerto,0.6418
68,68,Acerto,0.6471
69,69,Erro,0.6377
70,70,Acerto,0.6429
71,71,Acerto,0.6479
72,72,Acerto,0.6528
73,73,Erro,0.6438
74,74,Erro,0.6351
75,75,Acerto,0.64
76,76,Erro,0.6316
77,77,Erro,0.6234
78,78,Erro,0.6154
79,79,Erro,0.6076
80,80,Acerto,0.6125
81,81,Acerto,0.6173
82,82,Acerto,0.622
83,83,Erro,0.6145
84,84,Acerto,0.619
85,85,Acerto,0.6235
86,86,Acerto,0.6279
87,87,Acerto,0.6322
88,88,Acerto,0.6364
89,89,Acerto,0.6404
90,90,Acerto,0.6444
91,91,Erro,0.6374
92,92,Acerto,0.6413
93,93,Erro,0.6344
94,94,Acerto,0.6383
95,95,Erro,0.6316
96,96,Acerto,0.6354
97,97,Erro,0.6289
98,98,Acerto,0.6327
99,99,Acerto,0.6364
100,100,Acerto,0.64
101,101,Acerto,0.6436
102,102,Acerto,0.6471
103,103,Acerto,0.6505
104,104,Acerto,0.6538
105,105,Acerto,0.6571
106,106,Acerto,0.6604
107,107,Acerto,0.6636
108,108,Acerto,0.6667
109,109,Acerto,0.6697
110,110,Acerto,0.6727
111,111,Acerto,0.6757
112,112,Acerto,0.6786
113,113,Acerto,0.6814
114,114,Acerto,0.6842
115,115,Acerto,0.687
116,116,Acerto,0.6897
117,117,Acerto,0.6923
118,118,Acerto,0.6949
119,119,Erro,0.6891
120,120,Erro,0.6833
121,121,Erro,0.6777
122,122,Acerto,0.6803
123,123,Acerto,0.6829
124,124,Acerto,0.6855
125,125,Acerto,0.688
126,126,Acerto,0.6905
127,127,Erro,0.685
128,128,Acerto,0.6875
129,129,Acerto,0.6899
130,130,Acerto,0.6923
131,131,Acerto,0.6947
132,132,Acerto,0.697
133,133,Acerto,0.6992
134,134,Erro,0.694
135,135,Acerto,0.6963
136,136,Acerto,0.6985
137,137,Erro,0.6934
138,138,Acerto,0.6957
139,139,Acerto,0.6978
140,140,Acerto,0.7
141,141,Acerto,0.7021
142,142,Acerto,0.7042
143,143,Acerto,0.7063
144,144,Erro,0.7014
145,145,Acerto,0.7034
146,146,Acerto,0.7055
147,147,Acerto,0.7075
148,148,Erro,0.7027
149,149,Acerto,0.7047
150,150,Acerto,0.7067
151,151,Acerto,0.7086
152,152,Acerto,0.7105
153,153,Erro,0.7059
154,154,Acerto,0.7078
155,155,Acerto,0.7097
156,156,Acerto,0.7115
157,157,Acerto,0.7134
158,158,Acerto,0.7152
159,159,Erro,0.7107
160,160,Acerto,0.7125
161,161,Acerto,0.7143
162,162,Acerto,0.716
163,163,Acerto,0.7178
164,164,Acerto,0.7195
165,165,Acerto,0.7212
166,166,Acerto,0.7229
167,167,Acerto,0.7246
168,168,Acerto,0.7262
169,169,Acerto,0.7278
170,170,Erro,0.7235
171,171,Acerto,0.7251
172,172,Acerto,0.7267
173,173,Acerto,0.7283
174,174,Acerto,0.7299
175,175,Erro,0.7257
176,176,Acerto,0.7273
177,177,Acerto,0.7288
178,178,Acerto,0.7303
179,179,Acerto,0.7318
180,180,Acerto,0.7333
181,181,Acerto,0.7348
182,182,Acerto,0.7363
183,183,Acerto,0.7377
184,184,Acerto,0.7391
185,185,Acerto,0.7405
186,186,Acerto,0.7419
187,187,Acerto,0.7433
