Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Acerto,1.0
2,2,Erro,0.5
3,3,Erro,0.3333
4,4,Erro,0.25
5,5,Erro,0.2
6,6,Erro,0.1667
7,7,Acerto,0.2857
8,8,Erro,0.25
9,9,Acerto,0.3333
10,10,Acerto,0.4
11,11,Acerto,0.4545
12,12,Acerto,0.5
13,13,Acerto,0.5385
14,14,Acerto,0.5714
15,15,Erro,0.5333
16,16,Acerto,0.5625
17,17,Acerto,0.5882
18,18,Acerto,0.6111
19,19,Acerto,0.6316
20,20,Erro,0.6
21,21,Acerto,0.619
22,22,Acerto,0.6364
23,23,Erro,0.6087
24,24,Erro,0.5833
25,25,Erro,0.56
26,26,Acerto,0.5769
27,27,Acerto,0.5926
28,28,Acerto,0.6071
29,29,Acerto,0.6207
30,30,Acerto,0.6333
31,31,Erro,0.6129
32,32,Acerto,0.625
33,33,Erro,0.6061
34,34,Acerto,0.6176
35,35,Acerto,0.6286
36,36,Erro,0.6111
37,37,Acerto,0.6216
38,38,Erro,0.6053
39,39,Acerto,0.6154
40,40,Acerto,0.625
41,41,Acerto,0.6341
42,42,Acerto,0.6429
43,43,Acerto,0.6512
44,44,Acerto,0.6591
45,45,Acerto,0.6667
46,46,Erro,0.6522
47,47,Acerto,0.6596
48,48,Acerto,0.6667
49,49,Acerto,0.6735
50,50,Erro,0.66
51,51,Erro,0.6471
52,52,Acerto,0.6538
53,53,Erro,0.6415
54,54,Acerto,0.6481
55,55,Acerto,0.6545
56,56,Erro,0.6429
57,57,Acerto,0.6491
58,58,Acerto,0.6552
59,59,Acerto,0.661
60,60,Acerto,0.6667
61,61,Acerto,0.6721
62,62,Acerto,0.6774
63,63,Erro,0.6667
64,64,Erro,0.6562
65,65,Acerto,0.6615
66,66,Erro,0.6515
67,67,Acerto,0.6567
68,68,Erro,0.6471
69,69,Acerto,0.6522
70,70,Acerto,0.6571
71,71,Acerto,0.662
72,72,Acerto,0.6667
73,73,Erro,0.6575
74,74,Acerto,0.6622
75,75,Erro,0.6533
76,76,Acerto,0.6579
77,77,Erro,0.6494
78,78,Acerto,0.6538
79,79,Acerto,0.6582
80,80,Acerto,0.6625
81,81,Acerto,0.6667
82,82,Erro,0.6585
83,83,Erro,0.6506
84,84,Acerto,0.6548
85,85,Acerto,0.6588
86,86,Erro,0.6512
87,87,Erro,0.6437
88,88,Acerto,0.6477
89,89,Acerto,0.6517
90,90,Acerto,0.6556
91,91,Acerto,0.6593
92,92,Acerto,0.663
93,93,Acerto,0.6667
94,94,Erro,0.6596
95,95,Erro,0.6526
96,96,Erro,0.6458
97,97,Acerto,0.6495
98,98,Acerto,0.6531
99,99,Erro,0.6465
100,100,Erro,0.64
101,101,Acerto,0.6436
102,102,Erro,0.6373
103,103,Erro,0.6311
104,104,Acerto,0.6346
105,105,Erro,0.6286
106,106,Acerto,0.6321
107,107,Acerto,0.6355
108,108,Erro,0.6296
109,109,Acerto,0.633
110,110,Acerto,0.6364
111,111,Acerto,0.6396
112,112,Erro,0.6339
113,113,Acerto,0.6372
114,114,Erro,0.6316
115,115,Acerto,0.6348
116,116,Erro,0.6293
117,117,Acerto,0.6325
118,118,Acerto,0.6356
119,119,Erro,0.6303
120,120,Erro,0.625
121,121,Acerto,0.6281
122,122,Erro,0.623
123,123,Acerto,0.626
124,124,Erro,0.621
125,125,Erro,0.616
126,126,Erro,0.6111
127,127,Acerto,0.6142
128,128,Acerto,0.6172
129,129,Erro,0.6124
130,130,Acerto,0.6154
131,131,Erro,0.6107
132,132,Acerto,0.6136
133,133,Acerto,0.6165
134,134,Acerto,0.6194
135,135,Acerto,0.6222
136,136,Erro,0.6176
137,137,Erro,0.6131
138,138,Erro,0.6087
139,139,Acerto,0.6115
140,140,Erro,0.6071
141,141,Erro,0.6028
142,142,Erro,0.5986
143,143,Acerto,0.6014
144,144,Acerto,0.6042
145,145,Erro,0.6
146,146,Erro,0.5959
147,147,Acerto,0.5986
148,148,Acerto,0.6014
149,149,Acerto,0.604
150,150,Erro,0.6
151,151,Erro,0.596
152,152,Acerto,0.5987
153,153,Erro,0.5948
154,154,Erro,0.5909
155,155,Acerto,0.5935
156,156,Acerto,0.5962
157,157,Acerto,0.5987
158,158,Erro,0.5949
159,159,Erro,0.5912
160,160,Acerto,0.5938
161,161,Erro,0.5901
162,162,Acerto,0.5926
163,163,Acerto,0.5951
164,164,Acerto,0.5976
165,165,Acerto,0.6
166,166,Erro,0.5964
167,167,Erro,0.5928
168,168,Erro,0.5893
169,169,Erro,0.5858
170,170,Acerto,0.5882
171,171,Acerto,0.5906
172,172,Erro,0.5872
173,173,Acerto,0.5896
174,174,Acerto,0.592
175,175,Acerto,0.5943
176,176,Acerto,0.5966
177,177,Acerto,0.5989
178,178,Acerto,0.6011
179,179,Acerto,0.6034
180,180,Acerto,0.6056
181,181,Acerto,0.6077
182,182,Acerto,0.6099
183,183,Erro,0.6066
184,184,Acerto,0.6087
185,185,Acerto,0.6108
186,186,Acerto,0.6129
187,187,Acerto,0.615
188,188,Erro,0.6117
189,189,Erro,0.6085
190,190,Erro,0.6053
