Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Acerto,1.0
2,2,Erro,0.5
3,3,Acerto,0.6667
4,4,Erro,0.5
5,5,Acerto,0.6
6,6,Erro,0.5
7,7,Acerto,0.5714
8,8,Acerto,0.625
9,9,Erro,0.5556
10,10,Erro,0.5
11,11,Acerto,0.5455
12,12,Acerto,0.5833
13,13,Acerto,0.6154
14,14,Acerto,0.6429
15,15,Erro,0.6
16,16,Acerto,0.625
17,17,Acerto,0.6471
18,18,Erro,0.6111
19,19,Acerto,0.6316
20,20,Erro,0.6
21,21,Acerto,0.619
22,22,Acerto,0.6364
23,23,Erro,0.6087
24,24,Erro,0.5833
25,25,Acerto,0.6
26,26,Acerto,0.6154
27,27,Erro,0.5926
28,28,Erro,0.5714
29,29,Acerto,0.5862
30,30,Erro,0.5667
31,31,Acerto,0.5806
32,32,Acerto,0.5938
33,33,Erro,0.5758
34,34,Acerto,0.5882
35,35,Erro,0.5714
36,36,Acerto,0.5833
37,37,Acerto,0.5946
38,38,Acerto,0.6053
39,39,Acerto,0.6154
40,40,Erro,0.6
41,41,Acerto,0.6098
42,42,Acerto,0.619
43,43,Acerto,0.6279
44,44,Acerto,0.6364
45,45,Acerto,0.6444
46,46,Acerto,0.6522
47,47,Acerto,0.6596
48,48,Acerto,0.6667
49,49,Acerto,0.6735
50,50,Erro,0.66
51,51,Erro,0.6471
52,52,Acerto,0.6538
53,53,Erro,0.6415
54,54,Acerto,0.6481
55,55,Erro,0.6364
56,56,Erro,0.625
57,57,Acerto,0.6316
58,58,Erro,0.6207
59,59,Acerto,0.6271
60,60,Erro,0.6167
61,61,Acerto,0.623
62,62,Erro,0.6129
63,63,Acerto,0.619
64,64,Acerto,0.625
65,65,Acerto,0.6308
66,66,Erro,0.6212
67,67,Erro,0.6119
68,68,Erro,0.6029
69,69,Erro,0.5942
70,70,Acerto,0.6
71,71,Acerto,0.6056
72,72,Acerto,0.6111
73,73,Acerto,0.6164
74,74,Acerto,0.6216
75,75,Erro,0.6133
76,76,Acerto,0.6184
77,77,Acerto,0.6234
78,78,Acerto,0.6282
79,79,Acerto,0.6329
80,80,Acerto,0.6375
81,81,Acerto,0.642
82,82,Acerto,0.6463
83,83,Erro,0.6386
84,84,Acerto,0.6429
85,85,Acerto,0.6471
86,86,Erro,0.6395
87,87,Erro,0.6322
88,88,Acerto,0.6364
89,89,Acerto,0.6404
90,90,Acerto,0.6444
91,91,Acerto,0.6484
92,92,Acerto,0.6522
93,93,Acerto,0.6559
94,94,Erro,0.6489
95,95,Erro,0.6421
96,96,Erro,0.6354
97,97,Acerto,0.6392
98,98,Acerto,0.6429
99,99,Erro,0.6364
100,100,Erro,0.63
101,101,Acerto,0.6337
102,102,Erro,0.6275
103,103,Erro,0.6214
104,104,Acerto,0.625
105,105,Erro,0.619
106,106,Acerto,0.6226
107,107,Acerto,0.6262
108,108,Erro,0.6204
109,109,Erro,0.6147
110,110,Acerto,0.6182
111,111,Erro,0.6126
112,112,Acerto,0.6161
113,113,Acerto,0.6195
114,114,Erro,0.614
115,115,Acerto,0.6174
116,116,Erro,0.6121
117,117,Erro,0.6068
118,118,Acerto,0.6102
119,119,Acerto,0.6134
120,120,Erro,0.6083
121,121,Acerto,0.6116
122,122,Acerto,0.6148
123,123,Erro,0.6098
124,124,Erro,0.6048
125,125,Erro,0.6
126,126,Erro,0.5952
127,127,Acerto,0.5984
128,128,Erro,0.5938
129,129,Acerto,0.5969
130,130,Acerto,0.6
131,131,Erro,0.5954
132,132,Acerto,0.5985
133,133,Acerto,0.6015
134,134,Acerto,0.6045
135,135,Erro,0.6
136,136,Erro,0.5956
137,137,Acerto,0.5985
138,138,Acerto,0.6014
139,139,Acerto,0.6043
140,140,Acerto,0.6071
141,141,Erro,0.6028
142,142,Erro,0.5986
143,143,Erro,0.5944
144,144,Acerto,0.5972
145,145,Acerto,0.6
146,146,Erro,0.5959
147,147,Acerto,0.5986
148,148,Erro,0.5946
149,149,Erro,0.5906
150,150,Acerto,0.5933
151,151,Erro,0.5894
152,152,Erro,0.5855
153,153,Acerto,0.5882
154,154,Erro,0.5844
155,155,Erro,0.5806
156,156,Erro,0.5769
157,157,Erro,0.5732
158,158,Acerto,0.5759
159,159,Erro,0.5723
160,160,Acerto,0.575
161,161,Erro,0.5714
162,162,Acerto,0.5741
163,163,Erro,0.5706
164,164,Acerto,0.5732
165,165,Acerto,0.5758
166,166,Acerto,0.5783
167,167,Erro,0.5749
168,168,Erro,0.5714
169,169,Acerto,0.574
170,170,Acerto,0.5765
171,171,Erro,0.5731
172,172,Erro,0.5698
173,173,Erro,0.5665
174,174,Acerto,0.569
175,175,Erro,0.5657
176,176,Erro,0.5625
177,177,Acerto,0.565
178,178,Acerto,0.5674
179,179,Acerto,0.5698
180,180,Acerto,0.5722
181,181,Acerto,0.5746
182,182,Erro,0.5714
183,183,Acerto,0.5738
184,184,Erro,0.5707
185,185,Acerto,0.573
186,186,Acerto,0.5753
187,187,Acerto,0.5775
188,188,Erro,0.5745
189,189,Erro,0.5714
190,190,Erro,0.5684
191,191,Acerto,0.5707
