Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Erro,0.0
2,2,Acerto,0.5
3,3,Erro,0.3333
4,4,Acerto,0.5
5,5,Erro,0.4
6,6,Erro,0.3333
7,7,Acerto,0.4286
8,8,Erro,0.375
9,9,Acerto,0.4444
10,10,Erro,0.4
11,11,Acerto,0.4545
12,12,Acerto,0.5
13,13,Erro,0.4615
14,14,Acerto,0.5
15,15,Erro,0.4667
16,16,Acerto,0.5
17,17,Acerto,0.5294
18,18,Acerto,0.5556
19,19,Acerto,0.5789
20,20,Acerto,0.6
21,21,Acerto,0.619
22,22,Erro,0.5909
23,23,Acerto,0.6087
24,24,Erro,0.5833
25,25,Erro,0.56
26,26,Acerto,0.5769
27,27,Erro,0.5556
28,28,Erro,0.5357
29,29,Acerto,0.5517
30,30,Acerto,0.5667
31,31,Acerto,0.5806
32,32,Acerto,0.5938
33,33,Acerto,0.6061
34,34,Acerto,0.6176
35,35,Acerto,0.6286
36,36,Erro,0.6111
37,37,Acerto,0.6216
38,38,Acerto,0.6316
39,39,Acerto,0.641
40,40,Erro,0.625
41,41,Acerto,0.6341
42,42,Erro,0.619
43,43,Erro,0.6047
44,44,Acerto,0.6136
45,45,Acerto,0.6222
46,46,Erro,0.6087
47,47,Acerto,0.617
48,48,Acerto,0.625
49,49,Erro,0.6122
50,50,Acerto,0.62
51,51,Erro,0.6078
52,52,Acerto,0.6154
53,53,Acerto,0.6226
54,54,Acerto,0.6296
55,55,Acerto,0.6364
56,56,Acerto,0.6429
57,57,Acerto,0.6491
58,58,Acerto,0.6552
59,59,Acerto,0.661
60,60,Erro,0.65
61,61,Acerto,0.6557
62,62,Acerto,0.6613
63,63,Erro,0.6508
64,64,Erro,0.6406
65,65,Acerto,0.6462
66,66,Acerto,0.6515
67,67,Acerto,0.6567
68,68,Acerto,0.6618
69,69,Erro,0.6522
70,70,Erro,0.6429
71,71,Acerto,0.6479
72,72,Acerto,0.6528
73,73,Acerto,0.6575
74,74,Erro,0.6486
75,75,Erro,0.64
76,76,Acerto,0.6447
77,77,Acerto,0.6494
78,78,Erro,0.641
79,79,Acerto,0.6456
80,80,Acerto,0.65
81,81,Erro,0.642
82,82,Erro,0.6341
83,83,Acerto,0.6386
84,84,Erro,0.631
85,85,Acerto,0.6353
86,86,Erro,0.6279
87,87,Acerto,0.6322
88,88,Erro,0.625
89,89,Erro,0.618
90,90,Acerto,0.6222
91,91,Erro,0.6154
92,92,Erro,0.6087
93,93,Erro,0.6022
94,94,Acerto,0.6064
95,95,Erro,0.6
96,96,Acerto,0.6042
97,97,Acerto,0.6082
98,98,Acerto,0.6122
99,99,Acerto,0.6162
100,100,Erro,0.61
101,101,Acerto,0.6139
102,102,Acerto,0.6176
103,103,Erro,0.6117
104,104,Acerto,0.6154
105,105,Acerto,0.619
106,106,Erro,0.6132
107,107,Erro,0.6075
108,108,Acerto,0.6111
109,109,Acerto,0.6147
110,110,Erro,0.6091
111,111,Erro,0.6036
