Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Erro,0.0
2,2,Erro,0.0
3,3,Erro,0.0
4,4,Erro,0.0
5,5,Acerto,0.2
6,6,Acerto,0.3333
7,7,Acerto,0.4286
8,8,Acerto,0.5
9,9,Erro,0.4444
10,10,Acerto,0.5
11,11,Erro,0.4545
12,12,Acerto,0.5
13,13,Acerto,0.5385
14,14,Acerto,0.5714
15,15,Acerto,0.6
16,16,Erro,0.5625
17,17,Erro,0.5294
18,18,Erro,0.5
19,19,Acerto,0.5263
20,20,Erro,0.5
21,21,Erro,0.4762
22,22,Acerto,0.5
23,23,Erro,0.4783
24,24,Acerto,0.5
25,25,Acerto,0.52
26,26,Erro,0.5
27,27,Erro,0.4815
28,28,Acerto,0.5
29,29,Acerto,0.5172
30,30,Erro,0.5
31,31,Acerto,0.5161
32,32,Acerto,0.5312
33,33,Acerto,0.5455
34,34,Acerto,0.5588
35,35,Erro,0.5429
36,36,Acerto,0.5556
37,37,Acerto,0.5676
38,38,Acerto,0.5789
39,39,Erro,0.5641
40,40,Erro,0.55
41,41,Acerto,0.561
42,42,Acerto,0.5714
43,43,Acerto,0.5814
44,44,Acerto,0.5909
45,45,Acerto,0.6
46,46,Erro,0.587
47,47,Acerto,0.5957
48,48,Acerto,0.6042
49,49,Acerto,0.6122
50,50,Erro,0.6
51,51,Acerto,0.6078
52,52,Acerto,0.6154
53,53,Acerto,0.6226
54,54,Acerto,0.6296
55,55,Erro,0.6182
56,56,Acerto,0.625
57,57,Acerto,0.6316
58,58,Erro,0.6207
59,59,Acerto,0.6271
60,60,Acerto,0.6333
61,61,Acerto,0.6393
62,62,Acerto,0.6452
63,63,Acerto,0.6508
64,64,Acerto,0.6562
65,65,Acerto,0.6615
66,66,Acerto,0.6667
67,67,Acerto,0.6716
68,68,Erro,0.6618
69,69,Acerto,0.6667
70,70,Acerto,0.6714
71,71,Erro,0.662
72,72,Erro,0.6528
73,73,Acerto,0.6575
74,74,Erro,0.6486
75,75,Acerto,0.6533
76,76,Erro,0.6447
77,77,Acerto,0.6494
78,78,Acerto,0.6538
79,79,Acerto,0.6582
80,80,Erro,0.65
81,81,Erro,0.642
82,82,Erro,0.6341
83,83,Acerto,0.6386
84,84,Erro,0.631
85,85,Erro,0.6235
86,86,Erro,0.6163
87,87,Acerto,0.6207
88,88,Erro,0.6136
89,89,Acerto,0.618
90,90,Acerto,0.6222
91,91,Erro,0.6154
92,92,Erro,0.6087
93,93,Erro,0.6022
94,94,Erro,0.5957
95,95,Erro,0.5895
96,96,Acerto,0.5938
97,97,Erro,0.5876
98,98,Erro,0.5816
99,99,Acerto,0.5859
100,100,Erro,0.58
101,101,Acerto,0.5842
102,102,Erro,0.5784
103,103,Erro,0.5728
104,104,Erro,0.5673
105,105,Erro,0.5619
106,106,Acerto,0.566
107,107,Acerto,0.5701
108,108,Erro,0.5648
109,109,Acerto,0.5688
110,110,Acerto,0.5727
111,111,Acerto,0.5766
112,112,Acerto,0.5804
113,113,Erro,0.5752
114,114,Erro,0.5702
115,115,Erro,0.5652
116,116,Acerto,0.569
117,117,Acerto,0.5726
118,118,Acerto,0.5763
119,119,Acerto,0.5798
120,120,Erro,0.575
121,121,Acerto,0.5785
122,122,Acerto,0.582
123,123,Acerto,0.5854
124,124,Erro,0.5806
125,125,Erro,0.576
126,126,Erro,0.5714
127,127,Acerto,0.5748
128,128,Acerto,0.5781
129,129,Acerto,0.5814
130,130,Acerto,0.5846
131,131,Erro,0.5802
132,132,Acerto,0.5833
133,133,Acerto,0.5865
134,134,Erro,0.5821
135,135,Acerto,0.5852
136,136,Acerto,0.5882
137,137,Acerto,0.5912
138,138,Erro,0.587
139,139,Acerto,0.5899
140,140,Acerto,0.5929
141,141,Acerto,0.5957
142,142,Acerto,0.5986
143,143,Acerto,0.6014
144,144,Acerto,0.6042
145,145,Erro,0.6
146,146,Erro,0.5959
147,147,Erro,0.5918
148,148,Acerto,0.5946
149,149,Erro,0.5906
150,150,Erro,0.5867
151,151,Acerto,0.5894
152,152,Erro,0.5855
153,153,Erro,0.5817
154,154,Erro,0.5779
155,155,Acerto,0.5806
156,156,Acerto,0.5833
157,157,Acerto,0.586
158,158,Erro,0.5823
159,159,Acerto,0.5849
160,160,Acerto,0.5875
161,161,Erro,0.5839
162,162,Acerto,0.5864
163,163,Acerto,0.589
164,164,Acerto,0.5915
165,165,Acerto,0.5939
166,166,Erro,0.5904
167,167,Erro,0.5868
168,168,Acerto,0.5893
169,169,Erro,0.5858
170,170,Acerto,0.5882
171,171,Acerto,0.5906
172,172,Acerto,0.593
173,173,Acerto,0.5954
174,174,Acerto,0.5977
175,175,Acerto,0.6
176,176,Erro,0.5966
177,177,Acerto,0.5989
178,178,Acerto,0.6011
179,179,Erro,0.5978
180,180,Erro,0.5944
181,181,Erro,0.5912
182,182,Acerto,0.5934
183,183,Acerto,0.5956
184,184,Acerto,0.5978
185,185,Acerto,0.6
186,186,Acerto,0.6022
187,187,Acerto,0.6043
188,188,Acerto,0.6064
189,189,Acerto,0.6085
190,190,Acerto,0.6105
191,191,Erro,0.6073
192,192,Erro,0.6042
193,193,Erro,0.601
194,194,Acerto,0.6031
195,195,Acerto,0.6051
196,196,Acerto,0.6071
197,197,Erro,0.6041
198,198,Erro,0.601
199,199,Acerto,0.603
200,200,Acerto,0.605
201,201,Acerto,0.607
202,202,Acerto,0.6089
203,203,Erro,0.6059
